227,,"Javier Manquillo Newcastle United, 25, D(LR),M(R)",1,90,-,-,-,-,-,73.9,-,-,6.31
228,,"Chicharito West Ham, 31, FW",1(1),107,1,-,-,-,1.5,85.0,-,-,6.3
229,,"Ross Barkley Chelsea, 25, M(CLR)",1,58,-,-,-,-,2,79.2,-,-,6.3
230,,"Wilfried Zaha Crystal Palace, 26, AM(LR),FW",1(1),115,-,-,-,-,1,73.3,-,-,6.3
231,,"N'Golo Kanté Chelsea, 28, DMC",1(1),107,-,-,1,-,0.5,79.4,-,-,6.29
232,,"Will Hughes Watford, 24, M(CR)",2,157,-,-,-,-,0.5,69.0,-,-,6.29
233,,"Gerard Deulofeu Watford, 25, AM(LR),FW",2,125,-,-,-,-,0.5,73.7,-,-,6.28
234,,"Jeffrey Schlupp Crystal Palace, 26, D(L),M(CL)",0(1),25,-,-,-,-,1,66.7,1,-,6.28
235,,"Oliver McBurnie Sheffield United, 23, AM(CL),FW",0(2),61,-,-,-,-,1.5,50.0,2.5,-,6.28
236,,"Chris Wood Burnley, 27, FW",2,151,-,-,-,-,0.5,64.0,1.5,-,6.28
237,,"Moise Kean Everton, 19, FW",0(2),39,-,-,-,-,1,100.0,0.5,-,6.28
238,,"Danny Welbeck Watford, 28, AM(CLR),FW",0(1),23,-,-,-,-,-,71.4,1,-,6.27
239,,"Phil Foden Manchester City, 19, M(C)",0(1),10,-,-,-,-,-,71.4,-,-,6.26
240,,"Ki Sung-yueng Newcastle United, 30, DMC",1,74,-,-,-,-,-,92.9,1,-,6.26
241,,"Michail Antonio West Ham, 29, D(R),M(CLR),FW",1(1),91,-,-,-,-,1.5,70.0,2.5,-,6.25
242,,"Henrikh Mkhitaryan Arsenal, 30, M(CLR)",1,84,-,-,1,-,1,73.3,2,-,6.24
243,,"Jan Bednarek Southampton, 23, D(C)",2,180,-,-,-,-,0.5,73.3,3.5,-,6.23
244,,"Tom Davies Everton, 21, M(C)",0(1),11,-,-,-,-,-,85.7,-,-,6.23
245,,"Abdoulaye Doucouré Watford, 26, M(C)",2,180,-,-,-,-,0.5,69.8,1.5,-,6.21
246,,"Tammy Abraham Chelsea, 21, FW",1(1),95,-,-,1,-,2,72.7,2,-,6.21
247,,"Jetro Willems Newcastle United, 25, D(L),DMC,M(L)",0(1),36,-,-,-,-,-,81.3,1,-,6.2
248,,"Willian Chelsea, 31, AM(CLR)",0(1),19,-,-,-,-,1,72.7,1,-,6.2
249,,"Anwar El Ghazi Aston Villa, 24, AM(LR),FW",2,165,-,-,-,-,2.5,73.2,2.5,-,6.2
250,,"Lucas Torreira Arsenal, 23, DMC",0(1),7,-,-,-,-,1,83.3,-,-,6.19
251,,"Moussa Djenepo Southampton, 21, AM(L)",0(1),13,-,-,1,-,-,100.0,-,-,6.18
252,,"Angus Gunn Southampton, 23, GK",2,180,-,-,-,-,-,30.6,0.5,-,6.18
